ID,Prob1
0, 0.71
1, 0.12
2, 0.26
3, 0.12
4, 0.14
5, 0.09
6, 0.19
7, 0.73
8, 0.76
9, 0.26
10, 0.49
11, 0.16
12, 0.50
13, 0.79
14, 0.21
15, 0.15
16, 0.35
17, 0.15
18, 0.28
19, 0.30
20, 0.35
21, 0.06
22, 0.36
23, 0.58
24, 0.14
25, 0.38
26, 0.48
27, 0.16
28, 0.19
29, 0.66
30, 0.06
31, 0.08
32, 0.55
33, 0.28
34, 0.38
35, 0.47
36, 0.18
37, 0.58
38, 0.51
39, 0.31
40, 0.49
41, 0.09
42, 0.35
43, 0.47
44, 0.70
45, 0.20
46, 0.25
47, 0.81
48, 0.38
49, 0.38
50, 0.72
51, 0.19
52, 0.43
53, 0.21
54, 0.64
55, 0.02
56, 0.69
57, 0.08
58, 0.08
59, 0.13
60, 0.42
61, 0.50
62, 0.30
63, 0.10
64, 0.18
65, 0.25
66, 0.91
67, 0.16
68, 0.23
69, 0.18
70, 0.88
71, 0.84
72, 0.66
73, 0.20
74, 0.12
75, 0.69
76, 0.04
77, 0.87
78, 0.14
79, 0.32
80, 0.49
81, 0.16
82, 0.07
83, 0.07
84, 0.03
85, 0.11
86, 0.42
87, 0.04
88, 0.06
89, 0.59
90, 0.21
91, 0.23
92, 0.25
93, 0.44
94, 0.19
95, 0.14
96, 0.49
97, 0.04
98, 0.11
99, 0.42
100, 0.02
101, 0.53
102, 0.56
103, 0.31
104, 0.37
105, 0.11
106, 0.41
107, 0.55
108, 0.38
109, 0.30
110, 0.45
111, 0.45
112, 0.14
113, 0.29
114, 0.37
115, 0.01
116, 0.03
117, 0.16
118, 0.10
119, 0.25
120, 0.28
121, 0.43
122, 0.83
123, 0.65
124, 0.18
125, 0.34
126, 0.84
127, 0.09
128, 0.27
129, 0.08
130, 0.41
131, 0.51
132, 0.13
133, 0.50
134, 0.24
135, 0.60
136, 0.15
137, 0.02
138, 0.31
139, 0.08
140, 0.10
141, 0.33
142, 0.62
143, 0.17
144, 0.50
145, 0.10
146, 0.42
147, 0.26
148, 0.29
149, 0.89
150, 0.85
151, 0.25
152, 0.79
153, 0.59
154, 0.90
155, 0.04
156, 0.37
157, 0.11
158, 0.11
159, 0.15
160, 0.48
161, 0.03
162, 0.12
163, 0.03
164, 0.03
165, 0.37
166, 0.11
167, 0.40
168, 0.04
169, 0.21
170, 0.05
171, 0.38
172, 0.30
173, 0.57
174, 0.20
175, 0.10
176, 0.18
177, 0.35
178, 0.60
179, 0.02
180, 0.64
181, 0.81
182, 0.08
183, 0.16
184, 0.84
185, 0.43
186, 0.59
187, 0.81
188, 0.17
189, 0.14
190, 0.96
191, 0.06
192, 0.56
193, 0.10
194, 0.22
195, 0.69
196, 0.02
197, 0.15
198, 0.35
199, 0.07
200, 0.05
201, 0.18
202, 0.84
203, 0.12
204, 0.44
205, 0.26
206, 0.09
207, 0.20
208, 0.16
209, 0.74
210, 0.35
211, 0.35
212, 0.85
213, 0.64
214, 0.46
215, 0.30
216, 0.54
217, 0.11
218, 0.22
219, 0.44
220, 0.26
221, 0.11
222, 0.04
223, 0.72
224, 0.45
225, 0.24
226, 0.39
227, 0.32
228, 0.71
229, 0.03
230, 0.22
231, 0.78
232, 0.41
233, 0.18
234, 0.23
235, 0.35
236, 0.16
237, 0.51
238, 0.77
239, 0.47
240, 0.33
241, 0.19
242, 0.21
243, 0.07
244, 0.24
245, 0.06
246, 0.15
247, 0.75
248, 0.51
249, 0.16
250, 0.95
251, 0.43
252, 0.04
253, 0.02
254, 0.45
255, 0.01
256, 0.48
257, 0.04
258, 0.94
259, 0.15
260, 0.73
261, 0.27
262, 0.16
263, 0.09
264, 0.13
265, 0.27
266, 0.02
267, 0.65
268, 0.32
269, 0.43
270, 0.06
271, 0.06
272, 0.32
273, 0.23
274, 0.50
275, 0.36
276, 0.82
277, 0.98
278, 0.24
279, 0.16
280, 0.94
281, 0.07
282, 0.09
283, 0.36
284, 0.03
285, 0.50
286, 0.76
287, 0.33
288, 0.10
289, 0.51
290, 0.09
291, 0.20
292, 0.19
293, 0.40
294, 0.19
295, 0.04
296, 0.23
297, 0.12
298, 0.40
299, 0.81
300, 0.11
301, 0.15
302, 0.41
303, 0.45
304, 0.24
305, 0.63
306, 0.42
307, 0.29
308, 0.07
309, 0.86
310, 0.44
311, 0.16
312, 0.37
313, 0.07
314, 0.69
315, 0.39
316, 0.01
317, 0.59
318, 0.22
319, 0.31
320, 0.13
321, 0.30
322, 0.41
323, 0.63
324, 0.24
325, 0.38
326, 0.41
327, 0.58
328, 0.46
329, 0.22
330, 0.04
331, 0.42
332, 0.40
333, 0.51
334, 0.71
335, 0.08
336, 0.49
337, 0.93
338, 0.24
339, 0.18
340, 0.45
341, 0.15
342, 0.03
343, 0.05
344, 0.30
345, 0.55
346, 0.48
347, 0.03
348, 0.02
349, 0.46
350, 0.13
351, 0.39
352, 0.25
353, 0.46
354, 0.35
355, 0.20
356, 0.11
357, 0.35
358, 0.49
359, 0.36
360, 0.14
361, 0.02
362, 0.29
363, 0.59
364, 0.43
365, 0.61
366, 0.21
367, 0.49
368, 0.21
369, 0.74
370, 0.12
371, 0.25
372, 0.34
373, 0.30
374, 0.53
375, 0.09
376, 0.75
377, 0.12
378, 0.47
379, 0.21
380, 0.40
381, 0.48
382, 0.31
383, 0.73
384, 0.40
